"Data","Period","Organisation unit","Value"
"eY5ehpbEsB7","201611","O6uvpzGd5pu",600
"eY5ehpbEsB7","201703","O6uvpzGd5pu",4500
"eY5ehpbEsB7","201704","O6uvpzGd5pu",1200
"eY5ehpbEsB7","201601","O6uvpzGd5pu",1600
"eY5ehpbEsB7","201701","O6uvpzGd5pu",2600
"eY5ehpbEsB7","201705","O6uvpzGd5pu",3400
"eY5ehpbEsB7","201610","O6uvpzGd5pu",800
"eY5ehpbEsB7","201702","O6uvpzGd5pu",3400
"eY5ehpbEsB7","201612","O6uvpzGd5pu",6900
"eY5ehpbEsB7","201702","fdc6uOvgoji",2300
"eY5ehpbEsB7","201608","O6uvpzGd5pu",900
"eY5ehpbEsB7","201609","O6uvpzGd5pu",800
"eY5ehpbEsB7","201709","O6uvpzGd5pu",10600
"eY5ehpbEsB7","201607","O6uvpzGd5pu",1400
"eY5ehpbEsB7","201710","O6uvpzGd5pu",300
"eY5ehpbEsB7","201707","O6uvpzGd5pu",5600
"eY5ehpbEsB7","201708","O6uvpzGd5pu",54300
"eY5ehpbEsB7","201706","O6uvpzGd5pu",4500
"eY5ehpbEsB7","201606","O6uvpzGd5pu",100
