"dataElement","period","orgunit","value"
"tQUr3gaxEDf",201707,"HfVjCurKxh2",56
"tQUr3gaxEDf",201706,"HfVjCurKxh2",100
"tQUr3gaxEDf",201603,"HfVjCurKxh2",105
"tQUr3gaxEDf",201604,"HfVjCurKxh2",93
"tQUr3gaxEDf",201612,"HfVjCurKxh2",72
"tQUr3gaxEDf",201709,"HfVjCurKxh2",48
"tQUr3gaxEDf",201705,"HfVjCurKxh2",81
"tQUr3gaxEDf",201605,"HfVjCurKxh2",96
"tQUr3gaxEDf",201601,"HfVjCurKxh2",70
"tQUr3gaxEDf",201611,"HfVjCurKxh2",64
"tQUr3gaxEDf",201702,"HfVjCurKxh2",89
"tQUr3gaxEDf",201703,"HfVjCurKxh2",81
"tQUr3gaxEDf",201704,"HfVjCurKxh2",98
"tQUr3gaxEDf",201602,"HfVjCurKxh2",103
"tQUr3gaxEDf",201701,"HfVjCurKxh2",55
"tQUr3gaxEDf",201609,"HfVjCurKxh2",74
"tQUr3gaxEDf",201712,"HfVjCurKxh2",926
"tQUr3gaxEDf",201610,"HfVjCurKxh2",79
"tQUr3gaxEDf",201607,"HfVjCurKxh2",86
"tQUr3gaxEDf",201608,"HfVjCurKxh2",84
"tQUr3gaxEDf",201711,"HfVjCurKxh2",73
"tQUr3gaxEDf",201708,"HfVjCurKxh2",37
"tQUr3gaxEDf",201606,"HfVjCurKxh2",89
"tQUr3gaxEDf",201710,"HfVjCurKxh2",47
