name,id,,,,
,ioUhQ3uyRxD,,,,
0000000 INCOME & EXPENDITURE STATEMENT,RvNJvXCx4El,,,,
1000000 Income/Revenue,zo5v2sL2Pcz,,,,
10.1 Residential,tZ3qTxyRK6U,,,,
10.1 The facility has a sound fnancial plan that is adequately funded,oYdxcqRWRKh,,,,
10.2 Commercial,PQNav0azEH1,,,,
10.2 Financial resources are provided and used towards Quality Management and Continuous Quality Improvement programmes,OnDAptBbNIj,,,,
"10.3 Availability of updated fee structure, strategically and prominently displayed",UXQgaCoSP7f,,,,
10.3 Institutional,FGHsa8bdDE5,,,,
10.4 Facility improvement/ Quality management funds are effciently used and monitored in line with MoH guidelines or equivalent,y9uinyIRBW0,,,,
10.4 Others,Ru4P2LVGiQH,,,,
10. New EPTB,jJSUs0JbSra,,,,
10. Previously treated with first-line drugs only (FFT),ibg6xyK50Wy,,,,
10. Results at 5 months,Itz1YcJaRnD,,,,
1.10 A clear policy guiding Internships is in place,u3b3orYBYUe,,,,
11.1 No of health facilities (as per field register),KPXpN0gmyDY,,,,
11.1 Standard operating procedures are available for each department/unit,KQfvIWREywJ,,,,
1.11 Supportive supervision/trainings for lower facilities are managed as an integral part of quality improvement,imBWk4jfffV,,,,
1.12 Evidence of expenditure on Supportive Supervision is demonstrated,NyxeF9ZaJhg,,,,
11.2 No. of premises licensed,GvgBiM1Zt1r,,,,
11.2 Providers know and use standard treatment guidelines and protocols.,mAzawEn7QdS,,,,
11.3 Job aids for complex tasks and procedures are available and used,SGi5g5Lm0tV,,,,
11.3 No. of premises inspected,AP0KBdeexSO,,,,
11.4.1 Problem Identifcation and priority setting,duMWLYSncmW,,,,
11.4.2 PLAN,CYwROOSzxIx,,,,
11.4.3 DO,Tmj8q7Spfnc,,,,
11.4.4 CHECK,m4RpD2hvoT4,,,,
11.4.5 ACT,gSi0UrHia7y,,,,
11.4 No. of premises served with intimation notices,EqlIdLI34Oj,,,,
11.4 Patients’/clients’ perspective and rights are observed and respected.,fWe0hVQkqMO,,,,
11.5.1 Malaria ,myKiZ3J7sLM,,,,
11.5.2 EPI,k3MaVFj6mfZ,,,,
11.5.3 FP/RH,eQfeNTjUdEI,,,,
11.5.4 HIV/AIDS/TB,qWIDqctEJdk,,,,
11.5.5  IMCI,FuTPoQg8kOx,,,,
11.5.6 Communicable Diseases,l9DoZ3BG7zf,,,,
11.5.7 Other,wQaZve25A1o,,,,
11.5 Documented evidence of the implementation of the following programmes,DfceVEY1Uq0,,,,
11.5 No. of previous  intimation notices complied,TnDO4GeRbp6,,,,
11.6 Evaluation reports are available,Z0OD7BCGzMs,,,,
1.1 Management and clinical meetings are held on a monthly basis ,dEhdpfwXkl1,,,,
11. Number Tested for HIV (New EPTB),tZYhz9UkfxJ,,,,
11. Previously treated with both first- and second-line drugs (FRT),WJvAiaGmiPM,,,,
11. Results at 8 months,GrbulyNy9r0,,,,
1.1 Total premises (as per field register),oKeuAFRguJ1,,,,
12.1.1 Patient/client results are assessed on a regular basis and considered,ZDCiwmEPDOv,,,,
12.1.2 Mechanism for patient/client feedback in place. Patient/client satisfaction improving,FEKEDn0O6i5,,,,
12.1 No of health facilities (as per field register),zmu9wtj3Ncg,,,,
