name,uid,code,parent,shortname,description,openingdate,closedate,comment,featuretype,coordinates,url,contactperson,address,email,phonenumber
Wikithuki Dispensary,Bc371uxfYD5,16925,vpiZlB5cdK7,Wikithuki Dispensary,,,,,POINT,"[37.95263,-0.77819]",,,,,
Gemifa Medical Clinic,Z7Lf1n3Fcpi,22907,mEZBjj4fLBT,Gemifa,Clinic,,,,NONE,"[34.391914,0.059575]",,,,,
Olympus Medical Clinic,NAbQdHuaJFK,22906,PeEcMfBchbr,Olympus,Clinic,,,,NONE,"[34.3994,0.059575]",,,,,
Masaba Community Health Unit,tYwHeLSnHyb,600616,QR2K4k8VKF1,Masaba CHU,Community Unit,,,,NONE,"[34.46411,0.19358]",,,,,
Gatunga Health Centre,cmay4WXRmhA,12034,IcAegRcGuV6,Gatunga Health Centre,,,,,POINT,"[37.9423,-0.29656]",,,,,
Cfw Kimangaru Clinic,E52UsoBxJVS,11966,vEAFtHnPDrX,CFW Kimangaru Clinic,,,,,POINT,"[37.53009,-0.54506]",,,,,
Okita Health Center,dfJBmvzxpNz,22532,RcF7TZ3ciq5,Okita Health Center,,,,,NONE,"[34.7630164,-0.3826571]",,,,,
Kipyosit Dispensary,bCRRJzbTttt,18526,Va67VduPAgZ,Kipyosit Dispensary,,,,,NONE,,,,,,
Ager Community Dispensary,OLpW0qgl5iU,,RcF7TZ3ciq5,Ager Community Dispensary,,,,,NONE,"[34.7912352,-0.3801542]",,,,,
Shihenjera Community Health Unit,zXCmdKFlElO,600610,Jq3sWm3tMJy,Shihenjera CHU,Community Unit,,,,NONE,"[34.45262,0.1604]",,,,,
MAWEGO COMMUNITY MEDICAL CENTER,rsn1U89XqO4,22513,RcF7TZ3ciq5,MAWEGO COMMUNITY MEDICAL CENTER,,,,,NONE,"[34.7150065,-0.3899613]",,,,,
Total Community Unit,VvkaM5NUvgT,701138,JsyNWojvXgf,Total,,,,,NONE,,,,,,
Cheptuech Community Unit,Qn87jC2f5gt,701152,jED59CNbQmk,Cheptuech,,,,,NONE,,,,,,
Kasafari Dispensary (CDF),RqpeTBk2A4u,16855,hA5gPMwN9gK,Kasafari Dispensary (CDF),,,,,POINT,"[37.69747,-0.49111]",,,,,
Mulot stand alone VCT (Bomet),zYCUegaEHpY,20400,dDmN1rie0ij,Mulot stand alone VCT (Bomet),Within mulot sunset market,,,operational,NONE,,,,,,
Kiangondu Dispensary,TpILSUucrQK,12277,UQd8QPTpVD0,Kiangondu Dispensary,,,,,POINT,"[37.6219,-0.32099]",,,,,
Agenga Dispensary (Samia),A1BCmizFgwx,15790,soQ5zdUZi2H,Agenga Dispensary (Samia),,,,,POINT,"[34.07067,0.25266]",,,,,
Giakaibei Community Unit,i6uOn8EIQyH,,QSBdWpfSrPb,Giakaibei C.U,,,,,NONE,,,,,,
Kathathani Medical Clinic,cw60Sjxkr6J,19992,mr7zhcDiR5h,Kathathani Med. Clinic,,,,,POINT,"[37.69571,-0.38057]",,,,,
Gitogoto Dispensary,xIrVFUsVLbR,20563,vGpXQ5hFNmS,Gitogoto Dispensary,,,,OPERATIONAL,POINT,"[37.56244,-0.36445]",,,,,
Kiplabotwa Dispensary,gapioc0sHND,18525,dDmN1rie0ij,kiplabotwa Dispensary,NEAR MULOT TOWN,,,,POINT,"[35.28454,-0.54779]",,,,,
Thigingi Community Unit,isEuaS9fQQP,,Rvc83wul8dL,Thigingi C.U,,,,,NONE,,,,,,
Njeruri Dispensary,uEKN21efXUz,17367,QRBxWEQZUpe,Njeruri Dispensary,,,,,POINT,"[37.56854,-0.39042]",,,,,
Kiharo Community Unit,pj2ZC5sYgVw,,bLeCBUFM3wP,Kiharo C.U,,,,,NONE,,,,,,
Kirie Mission Clinic,eD8gvdqzIty,12334,HpGxgPszuYN,Kirie Mission Clinic,FBO,,,,POINT,"[37.78084,-0.57953]",,,,,
Muthanthara Dispensary,egwIfdre3CW,12590,LlyKi6c8KbT,Muthanthara Dispensary,,,,,POINT,"[37.89736,-0.43183]",,,,,
Marimanti Communinty Unity,S3kwTvVEakf,602302,IcAegRcGuV6,MCU,,,,,NONE,,,,,,
Ebenezer Health Care Dispensary,sShGas9CHLY,20179,NTHccL0KJ5j,Ebenezer Health Care Dispensary,,,,,NONE,,,,,,
Nerkwo Dispensary,GXTDLT02Dc5,15333,aMEeDm5knkx,Nerkwo Dispensary,,,,,POINT,"[35.50988,0.91471]",,,,,
Njaina Dispensary,tKKEknqYVmv,,UQd8QPTpVD0,Njaina Dispensary,,,,,POINT,"[37.67657,-0.31074]",,,,,
Kaare Dispensary,vjX2moFDHOH,12120,VOpqnQgC8om,Kaare Dispensary,,,,,POINT,"[37.793174,-0.183226]",,,,,
Kagochi Community Unit,cQqSA3WunSl,,QSBdWpfSrPb,Kagochi C.U,,,,,NONE,,,,,,
Kairiki Community Unit,eFyqM1LRK8v,,p0seYVywjgP,Kairiki C.U,,,,,NONE,,,,,,
Gathaithini Community Unit,ZizriVjRY9K,,fyiHrh4tOpQ,Gathaithini c.u,linked to Kiamabara h/c in Konyu ward,,,,NONE,,,,,,
Gatura Community Unit,Wifqa134RXd,,dmB6X6o04Qp,Gatura C.U,,,,,NONE,,,,,,
Thaithi Community Unit,Hwg9Lb5jZ0Q,,wuwDByjSR8s,Thaithi CU,,,,,NONE,,,,,,
Aga Khan Medical Centre Kericho,U8sl0OVOZty,20176,H7KO7IjHYfk,Aga Khan Medical Centre Kericho,Ushma Plaza Hospital Road,,,,POINT,"[35.28087,-0.37218]",,,,,
Queen of Peace Clinic,snOPNFSg0Wy,16758,fxLikKorklY,Queen of Peace Clinic,,,,,POINT,"[36.9501,-1.08449]",,,,,
Shibembe Community Health Unit,kDvApyEJTwC,600620,Jq3sWm3tMJy,Shibembe CHU,Community Unit,,,,NONE,"[34.45262,0.1604]",,,,,
Benard Vision Medicl Center,VAA6fTZov9f,22553,LX2KPfCBef4,Benard Vision Medicl Center,,,,,NONE,"[34.6298439,-0.4756561]",,,,,
Aski Medical Clinic,m2Sc53M2fCg,12873,ETN4UDiD5y5,Aski Medical Clinic,,,,Operational,POINT,"[36.92215,-1.26552]",,,,,
Hakati Medical Clinic,ONAdqxYAumV,12967,ivNrlSMRNra,Hakati Medical Clinic,,,,,POINT,"[36.9336,-1.32065]",,,,,
Kapkures Dispensary (Nakuru Central),BsRAEfmFfM3,14733,pZuA4cJd4bl,Kapkures Disp (Nakuru Cen,,,,,POINT,"[36.0232,-0.18642]",,,,,
Drop In Service Center Learning Site,yEgTXDKNOGK,20059,I1ioJIBPdpG,Drop In Service Center Learning Site,,,,,POINT,"[39.66703,-4.06221]",,,,,
Lokori (AIC) Health Centre,riVaDMbSHNv,15064,AY46zJ3BT9H,Lokori (AIC) Health Centr,,,,,POINT,"[35.9645,1.96004]",,,,,
Siakago Clinic,Ts1jDUorGyc,12733,tGtfKyhl0y1,Siakago Clinic,,,,,POINT,"[37.6418,-0.58005]",,,,,
Nangweya Medical Clinic,iZRuSincnSs,,I1ioJIBPdpG,Nangweya Medical Clinic,Medical Clinic,,,,NONE,,,,,,
Penta Flowers Dispensary (Ndarugu),QB0BVJnx85e,,WsPnZQHN2CZ,Penta Flowers Dispensary,,,,,NONE,,,,,,
Kabianga Community Unit,oLGkChOCoSo,701137,ebuf0Ix1pYu,Kabianga,,,,,NONE,,,,,,
