name,uid,code,parent,shortname,description,openingdate,closedate,comment,featuretype,coordinates,url,contactperson,address,email,phonenumber
Wikithuki Dispensary,Bc371uxfYD5,16925,vpiZlB5cdK7,Wikithuki Dispensary,,NA,NA,,POINT,"[37.95263,-0.77819]",,NA,NA,NA,NA
Gemifa Medical Clinic,Z7Lf1n3Fcpi,22907,mEZBjj4fLBT,Gemifa,Clinic,NA,NA,,NONE,"[34.391914,0.059575]",,NA,NA,NA,NA
Olympus Medical Clinic,NAbQdHuaJFK,22906,PeEcMfBchbr,Olympus,Clinic,NA,NA,,NONE,"[34.3994,0.059575]",,NA,NA,NA,NA
Masaba Community Health Unit,tYwHeLSnHyb,600616,QR2K4k8VKF1,Masaba CHU,Community Unit,NA,NA,,NONE,"[34.46411,0.19358]",,NA,NA,NA,NA
Gatunga Health Centre,cmay4WXRmhA,12034,IcAegRcGuV6,Gatunga Health Centre,,NA,NA,,POINT,"[37.9423,-0.29656]",,NA,NA,NA,NA
Cfw Kimangaru Clinic,E52UsoBxJVS,11966,vEAFtHnPDrX,CFW Kimangaru Clinic,,NA,NA,,POINT,"[37.53009,-0.54506]",,NA,NA,NA,NA
Okita Health Center,dfJBmvzxpNz,22532,RcF7TZ3ciq5,Okita Health Center,,NA,NA,,NONE,"[34.7630164,-0.3826571]",,NA,NA,NA,NA
Kipyosit Dispensary,bCRRJzbTttt,18526,Va67VduPAgZ,Kipyosit Dispensary,,NA,NA,,NONE,,,NA,NA,NA,NA
Ager Community Dispensary,OLpW0qgl5iU,,RcF7TZ3ciq5,Ager Community Dispensary,,NA,NA,,NONE,"[34.7912352,-0.3801542]",,NA,NA,NA,NA
Shihenjera Community Health Unit,zXCmdKFlElO,600610,Jq3sWm3tMJy,Shihenjera CHU,Community Unit,NA,NA,,NONE,"[34.45262,0.1604]",,NA,NA,NA,NA
MAWEGO COMMUNITY MEDICAL CENTER,rsn1U89XqO4,22513,RcF7TZ3ciq5,MAWEGO COMMUNITY MEDICAL CENTER,,NA,NA,,NONE,"[34.7150065,-0.3899613]",,NA,NA,NA,NA
Total Community Unit,VvkaM5NUvgT,701138,JsyNWojvXgf,Total,,NA,NA,,NONE,,,NA,NA,NA,NA
Cheptuech Community Unit,Qn87jC2f5gt,701152,jED59CNbQmk,Cheptuech,,NA,NA,,NONE,,,NA,NA,NA,NA
Kasafari Dispensary (CDF),RqpeTBk2A4u,16855,hA5gPMwN9gK,Kasafari Dispensary (CDF),,NA,NA,,POINT,"[37.69747,-0.49111]",,NA,NA,NA,NA
Mulot stand alone VCT (Bomet),zYCUegaEHpY,20400,dDmN1rie0ij,Mulot stand alone VCT (Bomet),Within mulot sunset market,NA,NA,operational,NONE,,,NA,NA,NA,NA
Kiangondu Dispensary,TpILSUucrQK,12277,UQd8QPTpVD0,Kiangondu Dispensary,,NA,NA,,POINT,"[37.6219,-0.32099]",,NA,NA,NA,NA
Agenga Dispensary (Samia),A1BCmizFgwx,15790,soQ5zdUZi2H,Agenga Dispensary (Samia),,NA,NA,,POINT,"[34.07067,0.25266]",,NA,NA,NA,NA
Giakaibei Community Unit,i6uOn8EIQyH,,QSBdWpfSrPb,Giakaibei C.U,,NA,NA,,NONE,,,NA,NA,NA,NA
Kathathani Medical Clinic,cw60Sjxkr6J,19992,mr7zhcDiR5h,Kathathani Med. Clinic,,NA,NA,,POINT,"[37.69571,-0.38057]",,NA,NA,NA,NA
