name,uid,code,parent,shortname,description,openingdate,closedate,comment,featuretype,coordinates,url,contactperson,address,email,phonenumber
Kenya,HfVjCurKxh2,,,Kenya,,NA,NA,,NONE,,,NA,NA,NA,NA
Kwale County,N7YETT3A9r1,29,HfVjCurKxh2,Kwale County,,NA,NA,,MULTI_POLYGON,"[[[[39.2696,-4.6529],[39.2945,-4.662],[39.2768,-4.6707],[39.2696,-4.6529]]],[[[39.3605,-4.6529],[39.4005,-4.6576],[39.4069,-4.6746],[39.3482,-4.6667],[39.3605,-4.6529]]],[[[39.3251,-3.5642],[39.3545,-3.5945],[39.3652,-3.7244],[39.3976,-3.7321],[39.3873,-3.8023],[39.5028,-3.8795],[39.5552,-3.9571],[39.5462,-3.9813],[39.5794,-3.9873],[39.5869,-4.0507],[39.5663,-4.0257],[39.559,-4.0418],[39.5782,-4.0316],[39.5666,-4.0484],[39.5882,-4.0677],[39.5754,-4.0868],[39.609,-4.0627],[39.6615,-4.1193],[39.6143,-4.2031],[39.5396,-4.4379],[39.5246,-4.4191],[39.5004,-4.4446],[39.4507,-4.5868],[39.436,-4.5898],[39.4271,-4.5598],[39.449,-4.5259],[39.4284,-4.5329],[39.4418,-4.5384],[39.4223,-4.5584],[39.4129,-4.5504],[39.4173,-4.5807],[39.4023,-4.5901],[39.3943,-4.5774],[39.3982,-4.6191],[39.4132,-4.6224],[39.4049,-4.6462],[39.3054,-4.6388],[39.3141,-4.5801],[39.2983,-4.5995],[39.293,-4.5795],[39.2871,-4.6185],[39.2813,-4.5938],[39.2571,-4.5901],[39.2737,-4.593],[39.2757,-4.6254],[39.2366,-4.6349],[39.2466,-4.6423],[39.2256,-4.671],[38.4524,-4.1422],[38.9513,-3.9565],[39.0346,-3.7584],[38.9381,-3.7],[38.9715,-3.64],[39.0613,-3.688],[39.0966,-3.5661],[39.3251,-3.5642]]]]",,NA,NA,NA,NA
Vihiga County,sANMZ3lpqGs,55,HfVjCurKxh2,Vihiga County,,NA,NA,,POLYGON,"[[[[34.9276,0.2046],[34.9136,0.1575],[34.8578,0.1214],[34.8344,0.0326],[34.7395,0.0065],[34.7469,-0.0182],[34.7239,-0.0028],[34.6874,-0.0232],[34.6899,-0.0116],[34.6009,0.0129],[34.5775,-0.0373],[34.5333,-0.0138],[34.5583,0.0496],[34.5545,0.095],[34.6019,0.1254],[34.6807,0.1234],[34.7362,0.1507],[34.7543,0.1411],[34.8144,0.165],[34.817,0.1875],[34.898,0.2093],[34.9122,0.1991],[34.9453,0.2192],[34.9276,0.2046]]]]",,NA,NA,NA,NA
Siaya County,u4t9H8XyU9P,48,HfVjCurKxh2,Siaya County,,NA,NA,,POLYGON,"[[[[34.3733,0.3088],[34.4,0.2576],[34.3819,0.2282],[34.3835,0.1809],[34.4411,0.2178],[34.4264,0.1493],[34.4773,0.155],[34.4794,0.1363],[34.4551,0.1277],[34.4717,0.1033],[34.5418,0.1377],[34.5545,0.095],[34.5583,0.0496],[34.5333,-0.0138],[34.4099,-0.0804],[34.4391,-0.175],[34.4123,-0.1763],[34.4096,-0.1955],[34.4005,-0.1843],[34.3434,-0.1963],[34.3432,-0.223],[34.386,-0.2384],[34.3989,-0.2904],[34.3112,-0.3743],[34.3055,-0.4026],[34.2873,-0.402],[34.2806,-0.3833],[34.3021,-0.368],[34.2552,-0.3282],[34.2656,-0.3059],[34.2443,-0.2994],[34.2667,-0.2597],[34.2432,-0.2363],[34.2039,-0.24],[34.1979,-0.2127],[34.1824,-0.2114],[34.1911,-0.1879],[34.1425,-0.2082],[34.0873,-0.1448],[34.1157,-0.1191],[34.1512,-0.117],[34.1123,-0.1115],[34.1432,-0.0875],[34.1288,-0.0701],[34.1385,-0.0534],[34.108,-0.0756],[34.0746,-0.0698],[34.0939,-0.0884],[34.0836,-0.0821],[34.0655,-0.1154],[34.0613,-0.0713],[34.0309,-0.0821],[34.0273,-0.0688],[34.0635,-0.0309],[34.0435,-0.0339],[34.0368,-0.0591],[34.0225,-0.04],[34.0046,-0.0452],[34.0105,-0.0275],[34.0449,0.0072],[34.0712,0.1201],[34.1081,0.1326],[34.1146,0.2408],[34.1608,0.3011],[34.2021,0.264],[34.2022,0.2886],[34.2323,0.2934],[34.2467,0.315],[34.3733,0.3088]]]]",,NA,NA,NA,NA
Kisumu County,tAbBVBbueqD,27,HfVjCurKxh2,Kisumu County,,NA,NA,,POLYGON,"[[[[35.2265,-0.1052],[35.2961,-0.1739],[35.33,-0.1769],[35.3425,-0.2381],[35.317,-0.2494],[35.2683,-0.2363],[35.2031,-0.1661],[35.1263,-0.1563],[35.1022,-0.2007],[35.0611,-0.2184],[35.0482,-0.2997],[35.0082,-0.3335],[35.0098,-0.3936],[34.9864,-0.416],[34.9339,-0.416],[34.9142,-0.3899],[34.8893,-0.4043],[34.8233,-0.3889],[34.8103,-0.3549],[34.7857,-0.3466],[34.7557,-0.2925],[34.7897,-0.2848],[34.8264,-0.3275],[34.8532,-0.2891],[34.8444,-0.2691],[34.8221,-0.2681],[34.7801,-0.1758],[34.7313,-0.1421],[34.7452,-0.0846],[34.7262,-0.1045],[34.6919,-0.0915],[34.6474,-0.1141],[34.6243,-0.1512],[34.5555,-0.1408],[34.5559,-0.1569],[34.5058,-0.196],[34.4573,-0.1652],[34.4391,-0.175],[34.4099,-0.0804],[34.5333,-0.0138],[34.5775,-0.0373],[34.6009,0.0129],[34.6899,-0.0116],[34.6874,-0.0232],[34.7239,-0.0028],[34.7469,-0.0182],[34.7522,-0.0315],[34.8274,0.0262],[34.8074,-0.0215],[34.9296,-0.0344],[34.9914,-0.0196],[35.0087,-0.0267],[35.0077,-0.0523],[35.0585,-0.0524],[35.0642,-0.0651],[35.1012,-0.0016],[35.15,-0.0357],[35.2118,-0.0296],[35.2265,-0.1052]]]]",,NA,NA,NA,NA
Kinango Sub County,LOgbecTRkbp,304,N7YETT3A9r1,Kinango,,NA,NA,,POLYGON,"[[[[39.5852,-4.0722],[39.5202,-4.0682],[39.5165,-4.0982],[39.4603,-4.1119],[39.4221,-4.1503],[39.3828,-4.1617],[39.3836,-4.1396],[39.3114,-4.1458],[39.2973,-4.2223],[39.2708,-4.2345],[39.2386,-4.225],[39.1711,-4.3209],[39.1434,-4.3089],[39.1384,-4.2548],[39.119,-4.2267],[39.0896,-4.222],[39.093,-4.1913],[39.0713,-4.2064],[39.0566,-4.1917],[39.035,-4.2218],[39.0048,-4.2083],[38.9521,-4.2208],[38.7694,-4.025],[38.9513,-3.9565],[39.0346,-3.7584],[38.9381,-3.7],[38.9545,-3.6716],[38.9715,-3.64],[39.0613,-3.688],[39.0966,-3.5661],[39.3238,-3.5582],[39.3545,-3.5945],[39.3531,-3.6934],[39.3652,-3.7244],[39.3976,-3.7321],[39.3942,-3.7721],[39.3873,-3.8023],[39.4241,-3.8147],[39.5271,-3.9084],[39.5558,-3.9582],[39.5462,-3.9813],[39.5794,-3.9873],[39.5869,-4.0507],[39.5663,-4.0257],[39.559,-4.0418],[39.5685,-4.0263],[39.579,-4.0324],[39.5666,-4.0484],[39.5852,-4.0722]]]]",,NA,NA,NA,NA
Rarieda Sub County,XcRpb1xsM64,603,u4t9H8XyU9P,Rarieda,,NA,NA,,POLYGON,"[[[[34.2432,-0.2363],[34.2699,-0.2099],[34.2967,-0.1284],[34.3828,-0.0629],[34.4154,-0.0756],[34.4391,-0.175],[34.4123,-0.1763],[34.4096,-0.1955],[34.4005,-0.1843],[34.3434,-0.1963],[34.3392,-0.2187],[34.3816,-0.232],[34.3995,-0.2875],[34.3112,-0.3743],[34.3055,-0.4026],[34.2824,-0.396],[34.3021,-0.368],[34.2552,-0.3282],[34.2656,-0.3059],[34.2452,-0.3021],[34.2684,-0.2644],[34.2432,-0.2363]]]]",,NA,NA,NA,NA
Nyakach Sub County,kBQIjtWUBqj,623,tAbBVBbueqD,Nyakach,,NA,NA,,NONE,,,NA,NA,NA,NA
Hamisi Sub County,BXaq5PxSfz2,808,sANMZ3lpqGs,Hamisi S.C.,,NA,NA,,POLYGON,"[[[[34.6611,0.057],[34.7179,0.0212],[34.7425,0.0655],[34.8083,0.0953],[34.8254,0.144],[34.8144,0.165],[34.8114,0.1845],[34.898,0.2093],[34.9122,0.1991],[34.9453,0.2192],[34.9068,0.1543],[34.8578,0.1214],[34.8589,0.0863],[34.8344,0.0326],[34.815,0.0356],[34.7642,0.0019],[34.7395,0.0065],[34.7469,-0.0182],[34.7239,-0.0028],[34.6874,-0.0232],[34.6811,-0.0126],[34.612,0.0027],[34.6427,0.0208],[34.6611,0.057]]]]",,NA,NA,NA,NA
Kisumu West Sub County,YzEDO9Mq4TR,,tAbBVBbueqD,Kisumu West,,NA,NA,The district was created 2 years ago out of Kisumu East  District and part of old Kisumu West and now has a functional DHMT. The facilities for this district have equally been identified  through the defined boundaries,NONE,,,NA,NA,NA,NA
